Date,Location,Crime
2007-07-01,Northland,4299.85027305042
2007-08-01,Northland,4359.9524448951315
2007-09-01,Northland,4424.097754407219
2007-10-01,Northland,4492.20695069195
2007-11-01,Northland,4564.200782854636
2007-12-01,Northland,4640.0
2008-01-01,Northland,4719.225835429714
2008-02-01,Northland,4800.3014592309755
2008-03-01,Northland,4881.350525686683
2008-04-01,Northland,4960.496689080401
2008-05-01,Northland,5035.863603695677
2008-06-01,Northland,5105.5749238154385
2008-07-01,Northland,5167.754303723247
2008-08-01,Northland,5220.525397702575
2008-09-01,Northland,5262.011860036478
2008-10-01,Northland,5290.337345008456
2008-11-01,Northland,5303.625506901875
2008-12-01,Northland,5300.0
2009-01-01,Northland,5278.4118872029685
2009-02-01,Northland,5241.121865877666
2009-03-01,Northland,5191.218042008043
2009-04-01,Northland,5131.788521577754
2009-05-01,Northland,5065.921410570353
2009-06-01,Northland,4996.704814969946
2009-07-01,Northland,4927.226840760096
2009-08-01,Northland,4860.575593924371
2009-09-01,Northland,4799.839180446876
2009-10-01,Northland,4748.105706311164
2009-11-01,Northland,4708.463277500884
2009-12-01,Northland,4684.0
2010-01-01,Northland,4676.877773165854
2010-02-01,Northland,4685.553669850879
2010-03-01,Northland,4707.558556281147
2010-04-01,Northland,4740.423298682781
2010-05-01,Northland,4781.678763282028
2010-06-01,Northland,4828.855816304778
2010-07-01,Northland,4879.485323977257
2010-08-01,Northland,4931.0981525257275
2010-09-01,Northland,4981.225168176023
2010-10-01,Northland,5027.397237154406
2010-11-01,Northland,5067.145225687099
2010-12-01,Northland,5098.0
2011-01-01,Northland,5118.05850161511
2011-02-01,Northland,5127.68197323736
2011-03-01,Northland,5127.797732867372
2011-04-01,Northland,5119.333098505868
2011-05-01,Northland,5103.215388153469
2011-06-01,Northland,5080.371919810939
2011-07-01,Northland,5051.730011478926
2011-08-01,Northland,5018.216981158003
2011-09-01,Northland,4980.760146849037
2011-10-01,Northland,4940.286826552617
2011-11-01,Northland,4897.724338269301
2011-12-01,Northland,4854.0
2012-01-01,Northland,4809.917155558878
2012-02-01,Northland,4765.783252014493
2012-03-01,Northland,4721.781762249363
2012-04-01,Northland,4678.096159145649
2012-05-01,Northland,4634.90991558551
2012-06-01,Northland,4592.406504451463
2012-07-01,Northland,4550.7693986256645
2012-08-01,Northland,4510.182070990288
2012-09-01,Northland,4470.827994427829
2012-10-01,Northland,4432.89064182046
2012-11-01,Northland,4396.553486050356
2012-12-01,Northland,4362.0
2013-01-01,Northland,4329.348107631035
2013-02-01,Northland,4298.453537223006
2013-03-01,Northland,4269.106468135174
2013-04-01,Northland,4241.097079726546
2013-05-01,Northland,4214.215551356145
2013-06-01,Northland,4188.252062383212
2013-07-01,Northland,4162.996792166766
2013-08-01,Northland,4138.239920065834
2013-09-01,Northland,4113.771625439645
2013-10-01,Northland,4089.3820876472255
2013-11-01,Northland,4064.8614860476005
2013-12-01,Northland,4040.0
2014-01-01,Northland,4014.6718953986406
2014-02-01,Northland,3989.087784278496
2014-03-01,Northland,3963.542365209943
2014-04-01,Northland,3938.3303367631447
2014-05-01,Northland,3913.7463975082705
2014-06-01,Northland,3890.0852460156893
2014-07-01,Northland,3867.6415808555666
2014-08-01,Northland,3846.710100598085
2014-09-01,Northland,3827.5855038135905
2014-10-01,Northland,3810.56248907226
2014-11-01,Northland,3795.9357549442916
2014-12-01,Northland,3784.0
2015-01-01,Northland,3774.9683617004575
2015-02-01,Northland,3768.727733070291
2015-03-01,Northland,3765.083446025055
2015-04-01,Northland,3763.840832480251
2015-05-01,Northland,3764.8052243514044
2015-06-01,Northland,3767.781953554032
2015-07-01,Northland,3772.576352003655
2015-08-01,Northland,3778.9937516158134
2015-09-01,Northland,3786.839484305993
2015-10-01,Northland,3795.9188819897313
2015-11-01,Northland,3806.0372765825787
2015-12-01,Northland,3817.0
2016-01-01,Northland,3828.5813939106815
2016-02-01,Northland,3840.4318389958657
2016-03-01,Northland,3852.1707256898376
2016-04-01,Northland,3863.417444426977
2016-05-01,Northland,3873.791385641662
2016-06-01,Northland,3882.911939768183
2016-07-01,Northland,3890.398497240919
2016-08-01,Northland,3895.8704484942305
2016-09-01,Northland,3898.947183962437
2016-10-01,Northland,3899.2480940799046
2016-11-01,Northland,3896.392569280971
2016-12-01,Northland,3890.0
2017-01-01,Northland,3879.7934469160523
2017-02-01,Northland,3865.910651687012
2017-03-01,Northland,3848.5930262155953
2017-04-01,Northland,3828.081982404413
2017-05-01,Northland,3804.6189321560364
2017-06-01,Northland,3778.445287373237
2017-07-01,Northland,3749.802459958595
2017-08-01,Northland,3718.931861814666
2017-09-01,Northland,3686.07490484426
2017-10-01,Northland,3651.4730009499362
2017-11-01,Northland,3615.3675620342365
2017-12-01,Northland,3578.0
2018-01-01,Northland,3539.6614850918445
2018-02-01,Northland,3500.842220922673
2018-03-01,Northland,3462.08216944778
2018-04-01,Northland,3423.921292622143
2018-05-01,Northland,3386.8995524007446
2018-06-01,Northland,3351.55691073887
2018-07-01,Northland,3318.4333295914985
2018-08-01,Northland,3288.0687709136337
2018-09-01,Northland,3261.0031966605247
2018-10-01,Northland,3237.7765687871665
2018-11-01,Northland,3218.9288492485957
2018-12-01,Northland,3205.0
2019-01-01,Northland,3196.2863071611714
2019-02-01,Northland,3192.1093535110276
2019-03-01,Northland,3191.547045993283
2019-04-01,Northland,3193.677291551613
2019-05-01,Northland,3197.5779971297234
2019-06-01,Northland,3202.327069671283
2019-07-01,Northland,3207.002416119994
2019-08-01,Northland,3210.681943419557
2019-09-01,Northland,3212.443558513642
2019-10-01,Northland,3211.3651683459548
2019-11-01,Northland,3206.524679860168
2019-12-01,Northland,3197.0
2020-01-01,Northland,3182.177661263546
2020-02-01,Northland,3162.678698366488
2020-03-01,Northland,3139.4327715790882
2020-04-01,Northland,3113.369541171452
2020-05-01,Northland,3085.418667413652
2020-06-01,Northland,3056.5098105759976
2020-07-01,Northland,3027.5726309285646
2020-08-01,Northland,2999.5367887414322
2020-09-01,Northland,2973.331944284908
2020-10-01,Northland,2949.8877578290644
2020-11-01,Northland,2930.1338896440084
2020-12-01,Northland,2915.0
2021-01-01,Northland,2905.109529266205
2021-02-01,Northland,2899.8610382081233
2021-03-01,Northland,2898.3468676903644
2021-04-01,Northland,2899.659358577489
2021-05-01,Northland,2902.8908517340897
2021-06-01,Northland,2907.133688024728
2021-07-01,Northland,2911.480208313993
2021-08-01,Northland,2915.0227534664723
2021-09-01,Northland,2916.853664346728
2021-10-01,Northland,2916.065281819351
2021-11-01,Northland,2911.749946748908
2021-12-01,Northland,2903.0
2022-01-01,Northland,2889.1810966716935
2022-02-01,Northland,2870.7521488009693
2022-03-01,Northland,2848.4453826594545
2022-04-01,Northland,2822.9930245186324
2022-05-01,Northland,2795.1273006499514
2022-06-01,Northland,2765.5804373250903
2022-07-01,Northland,2735.084660815505
2022-08-01,Northland,2704.3721973926367
2022-09-01,Northland,2674.175273328182
2022-10-01,Northland,2645.226114893583
2022-11-01,Northland,2618.256948360298
2022-12-01,Northland,2594.0
2023-01-01,Northland,2573.1874960841405
2023-02-01,Northland,2556.551662884207
2023-03-01,Northland,2544.8247266718186
2023-04-01,Northland,2538.7389137184496
2023-05-01,Northland,2539.026450295638
2023-06-01,Northland,2546.4195626749092
2023-07-01,Northland,2561.650477127783
2023-08-01,Northland,2585.451419925862
2023-09-01,Northland,2618.5546173405455
2023-10-01,Northland,2661.6922956434128
2023-11-01,Northland,2715.596681106153
2023-12-01,Northland,2781.0
2024-01-01,Northland,2858.6344785966126
2024-02-01,Northland,2949.2323431677823
2024-03-01,Northland,3053.525819984545
2024-04-01,Northland,3172.2471353186547
2024-05-01,Northland,3306.1285154420248
2024-06-01,Northland,3455.9021866254534
2024-07-01,Northland,3622.300375140811
2024-08-01,Northland,3806.0553072601506
2024-09-01,Northland,4007.8992092539975
2024-10-01,Northland,4228.564307394356
2024-11-01,Northland,4468.782827953433
2024-12-01,Northland,4729.2869972014505
2025-01-01,Northland,5010.809041410559
1981-01-01,Nelson,4788.29251760346
1981-02-01,Nelson,4885.624668296126
1981-03-01,Nelson,4946.659515736053
1981-04-01,Nelson,4974.06012358213
1981-05-01,Nelson,4970.489555492884
1981-06-01,Nelson,4938.610875126918
1981-07-01,Nelson,4881.087146142835
1981-08-01,Nelson,4800.581432198963
1981-09-01,Nelson,4699.756796954322
1981-10-01,Nelson,4581.276304067302
1981-11-01,Nelson,4447.803017196091
1981-12-01,Nelson,4302.0
1982-01-01,Nelson,4146.53031613726
1982-02-01,Nelson,3984.057029265997
1982-03-01,Nelson,3817.2432030456766
1982-04-01,Nelson,3648.751901134441
1982-05-01,Nelson,3481.246187190411
1982-06-01,Nelson,3317.3891248730824
1982-07-01,Nelson,3159.8437778405714
1982-08-01,Nelson,3011.2732097510625
1982-09-01,Nelson,2874.340484263948
1982-10-01,Nelson,2751.708665037382
1982-11-01,Nelson,2646.0408157296806
1982-12-01,Nelson,2560.0
1983-01-01,Nelson,2495.4479076628368
1983-02-01,Nelson,2451.040733157844
1983-03-01,Nelson,2424.633297081241
1983-04-01,Nelson,2414.0804200288603
1983-05-01,Nelson,2417.236922596711
1983-06-01,Nelson,2431.9576253807522
1983-07-01,Nelson,2456.0973489769563
1983-08-01,Nelson,2487.5109139813994
1983-09-01,Nelson,2524.053140989887
1983-10-01,Nelson,2563.578850598478
1983-11-01,Nelson,2603.942863403264
1983-12-01,Nelson,2643.0
1984-01-01,Nelson,2678.9483078413314
1984-02-01,Nelson,2711.3587418060797
1984-03-01,Nelson,2740.145483629361
1984-04-01,Nelson,2765.2227150465583
1984-05-01,Nelson,2786.5046177930167
1984-06-01,Nelson,2803.90537360391
1984-07-01,Nelson,2817.3391642145934
1984-08-01,Nelson,2826.720171360378
1984-09-01,Nelson,2831.962576776504
1984-10-01,Nelson,2832.9805621982932
1984-11-01,Nelson,2829.688309361022
1984-12-01,Nelson,2822.0
