Time Frame,Location Id,Location,Median Rent,Crime
1994/10/1,7,Taranaki,130,3495.344914
1994/10/1,8,Manawatu-Whanganui,130,3740.205641
1994/10/1,9,Wellington,165,4039.82071
1994/10/1,12,West Coast,120,2939.414926
1994/10/1,13,Canterbury,150,7732.927017
1994/10/1,14,Otago,150,3951.676863
1994/10/1,15,Southland,118,2793.047734
1994/10/1,17,Nelson,155,2939.414926
1994/11/1,1,Northland,130,3143.08524
1994/11/1,2,Auckland,210,9297.343293
1994/11/1,3,Waikato,140,6025.799122
1994/11/1,4,Bay of Plenty,150,4728.588646
1994/11/1,5,Gisborne,143,5323.119713
1994/11/1,7,Taranaki,130,3520.692666
1994/11/1,8,Manawatu-Whanganui,135,3741.249373
1994/11/1,9,Wellington,180,4034.561145
1994/11/1,12,West Coast,120,2943.030736
1994/11/1,13,Canterbury,155,7721.719063
1994/11/1,14,Otago,140,3948.415981
1994/11/1,15,Southland,111,2793.237875
1994/11/1,17,Nelson,150,2943.030736
1994/12/1,1,Northland,130,3169
1994/12/1,2,Auckland,213,9333
1994/12/1,3,Waikato,140,6010
1994/12/1,4,Bay of Plenty,150,4702
1994/12/1,5,Gisborne,145,5293
1994/12/1,7,Taranaki,130,3546
1994/12/1,8,Manawatu-Whanganui,135,3745
1994/12/1,9,Wellington,180,4028
1994/12/1,12,West Coast,120,2947
1994/12/1,13,Canterbury,160,7708
1994/12/1,14,Otago,140,3944
1994/12/1,15,Southland,120,2794
1994/12/1,17,Nelson,150,2947
1995/1/1,1,Northland,130,3199.043712
1995/1/1,2,Auckland,220,9361.061633
1995/1/1,3,Waikato,140,6006.280209
1995/1/1,4,Bay of Plenty,155,4671.463378
1995/1/1,5,Gisborne,140,5261.909257
1995/1/1,7,Taranaki,135,3571.00283
1995/1/1,8,Manawatu-Whanganui,140,3751.575502
1995/1/1,9,Wellington,180,4020.037216
1995/1/1,12,West Coast,120,2951.457974
1995/1/1,13,Canterbury,160,7691.661175
1995/1/1,14,Otago,180,3938.462931
1995/1/1,15,Southland,110,2795.644291
1995/1/1,17,Nelson,160,2951.457974
1995/2/1,1,Northland,130,3232.489159
1995/2/1,2,Auckland,220,9382.196928
1995/2/1,3,Waikato,135,6013.796663
1995/2/1,4,Bay of Plenty,150,4637.932808
1995/2/1,5,Gisborne,130,5230.61256
1995/2/1,7,Taranaki,130,3595.623557
1995/2/1,8,Manawatu-Whanganui,150,3760.463097
1995/2/1,9,Wellington,180,4011.093786
1995/2/1,12,West Coast,110,2956.37735
1995/2/1,13,Canterbury,160,7673.124858
1995/2/1,14,Otago,150,3931.870191
1995/2/1,15,Southland,115,2798.074283
1995/2/1,17,Nelson,150,2956.37735
